,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.95,27.91,79.9592,33.8575,85.6986,"[8, 25, 59]",36002,94.5,509400,22.4,648840,50.6
1,1,0.1,0.05,1.824,32.358,84.9065,35.3304,88.3659,"[8, 25, 59]",36002,94.5,509400,22.4,648840,50.6
2,2,0.1,0.05,1.744,35.228,87.3282,30.623,84.9622,"[8, 25, 59]",36002,94.5,509400,22.4,648840,50.6
3,3,0.1,0.05,1.653,38.676,89.4921,41.1823,91.2819,"[8, 25, 58]",35501,94.6,501464,23.6,638686,51.4
4,4,0.1,0.05,1.571,42.602,90.7529,45.4618,91.5506,"[8, 25, 58]",35501,94.6,501464,23.6,638686,51.4
5,5,0.1,0.05,1.574,42.226,90.4751,31.2799,86.6541,"[8, 25, 58]",35501,94.6,501464,23.6,638686,51.4
6,6,0.1,0.05,1.674,37.576,88.9686,42.5756,89.59,"[8, 25, 58]",35501,94.6,501464,23.6,638686,51.4
7,7,0.1,0.05,1.572,42.288,90.643,38.1867,88.6246,"[8, 25, 58]",35501,94.6,501464,23.6,638686,51.4
8,8,0.1,0.05,1.606,41.11,90.0655,34.0366,87.8384,"[8, 25, 58]",35501,94.6,501464,23.6,638686,51.4
9,9,0.1,0.05,1.569,42.156,90.7409,45.7205,91.7496,"[8, 24, 58]",35450,94.6,498872,24.0,635348,51.6
10,10,0.1,0.05,1.53,43.824,91.2244,42.3268,90.7046,"[8, 24, 58]",35450,94.6,498872,24.0,635348,51.6
11,11,0.1,0.05,1.481,46.074,91.7839,48.3579,93.4215,"[8, 24, 57]",34949,94.7,490952,25.2,625218,52.4
12,12,0.1,0.05,1.439,48.026,92.4413,49.7014,92.2771,"[8, 24, 57]",34949,94.7,490952,25.2,625218,52.4
13,13,0.1,0.05,1.414,48.92,92.6131,45.3623,92.5756,"[8, 24, 57]",34949,94.7,490952,25.2,625218,52.4
14,14,0.1,0.05,1.498,45.308,91.4242,48.8555,93.2723,"[8, 22, 57]",34847,94.7,485816,26.0,618614,52.9
15,15,0.1,0.05,1.563,43.464,90.2873,43.9789,90.3961,"[8, 22, 56]",34346,94.8,477912,27.2,608508,53.7
16,16,0.1,0.05,1.485,46.532,91.5261,50.8658,94.4566,"[8, 22, 56]",34346,94.8,477912,27.2,608508,53.7
17,17,0.1,0.05,1.448,47.776,92.1575,38.6644,89.6099,"[8, 22, 56]",34346,94.8,477912,27.2,608508,53.7
18,18,0.1,0.05,1.508,45.722,91.3123,38.0374,86.5645,"[8, 22, 56]",34346,94.8,477912,27.2,608508,53.7
19,19,0.1,0.05,1.593,41.8,90.1295,42.705,92.1875,"[8, 21, 56]",34295,94.8,475368,27.6,605242,53.9
20,0,0.1,0.05,1.404,49.2467,92.9947,52.4582,93.9689,"[8, 21, 56]",34295,94.8,243825,62.9,362776,72.4
21,1,0.1,0.05,1.367,50.8392,93.4343,53.2345,94.4367,"[8, 21, 56]",34295,94.8,243825,62.9,362776,72.4
22,2,0.1,0.05,1.346,51.8123,93.5462,54.3292,94.4367,"[8, 21, 56]",34295,94.8,243825,62.9,362776,72.4
